[WARN] [1775886351.015242417] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886351.516414730] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886352.017604489] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886352.518832914] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886353.019987560] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886353.521141540] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886354.022366706] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886354.523586039] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886355.024849113] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886355.526054227] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886356.027276627] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886356.528488563] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886357.029731629] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886357.530900565] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886358.032081464] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886358.533270678] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886359.034494466] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886359.535734255] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886360.036991599] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886360.538186109] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886361.039382989] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886361.540608667] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886362.041827010] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886362.542997798] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886363.044210809] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886363.545386374] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886364.046627163] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886364.547852414] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886365.049184388] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886365.550441010] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886366.051632798] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886366.552716733] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886367.053909058] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886367.555125198] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886368.056351431] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886368.557582330] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886369.058796359] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886369.559898683] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886370.061211991] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886370.562466853] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886371.063598122] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886371.564781503] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886372.065996421] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886372.567292598] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886373.068522405] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886373.569791564] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886374.070987537] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886374.572281345] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886375.073535300] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886375.574676809] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886376.075857283] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886376.577037737] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886377.078231562] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886377.579327201] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886378.080518637] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886378.581449164] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886379.082785916] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886379.583944815] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886380.085095640] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886380.586069834] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886381.086945823] [uart_bridge]: Waiting for pose data from /pose topic...
