[WARN] [1782869239.532742559] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.632734482] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.732729571] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.832732734] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869239.932733175] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.032732468] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.132740687] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.232752869] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.332737403] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.432746974] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.532738915] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.632759152] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.732728852] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.832735590] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869240.932736605] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.032731027] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.132734635] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.232731354] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.332731832] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.432733718] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.532734733] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.632738711] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.732734411] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.832730223] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869241.932747275] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.032710179] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.132740342] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.232729505] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.332730687] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.432760462] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.532736069] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.632748399] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.732734618] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.832730022] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869242.932736334] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.032739071] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.132742308] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.232760879] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.332730320] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.432748947] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.532751332] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.632743755] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.732736455] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.832736563] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869243.932735096] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.032714704] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.132732478] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.232731308] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.332736749] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.432734672] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.532730243] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.632728295] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.732727699] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.832729196] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869244.932734748] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.032735763] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.132735260] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.232730478] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.332740716] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.432748398] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.532730616] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.632735891] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.732734554] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.832731995] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869245.932728862] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.032724192] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.132735781] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.232746241] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.332734108] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.432737845] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.532745657] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.632742598] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.732732465] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.832733313] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869246.932732384] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.032729455] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.132737785] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.232733041] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.332730056] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.432740275] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.532731253] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.632732601] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.732735061] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.832734465] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869247.932743684] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.032715236] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.132733584] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.232730507] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.332728448] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.432752315] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.532733923] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.632734197] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.732734101] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.832731653] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869248.932737669] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.032750943] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.132736014] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.232765529] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.332741914] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.432751078] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.532749352] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.632748293] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.732737753] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.832734379] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869249.932742209] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.032714131] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.132728665] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.232738199] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.332731232] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.432730229] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.532734300] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.632733871] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.732737941] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.832740475] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869250.932741786] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.032736024] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.132736187] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.232733628] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.332734791] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.432751714] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.532730951] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.632736559] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.732734296] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.832735182] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869251.932744271] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.032731972] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.132738042] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.232767761] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.332734332] [rf2o_laser_odometry_node]: Waiting for laser_scans....
