[INFO] [1775929130.544470928] [uart_bridge]: UART bridge node started
[INFO] [1775929130.545991343] [uart_bridge]: Opened UART on /dev/ttyAMA0 @ 115200
[INFO] [1775929264.479293359] [uart_bridge]: Distance to room1: 7.00m (threshold: 1.2m)
[INFO] [1775929264.980334983] [uart_bridge]: Distance to room1: 7.49m (threshold: 1.2m)
[INFO] [1775929265.481385811] [uart_bridge]: Distance to room1: 6.62m (threshold: 1.2m)
[INFO] [1775929265.982276063] [uart_bridge]: Distance to room1: 5.66m (threshold: 1.2m)
[INFO] [1775929266.483448855] [uart_bridge]: Distance to room1: 5.66m (threshold: 1.2m)
[INFO] [1775929266.984494182] [uart_bridge]: Distance to room1: 5.66m (threshold: 1.2m)
[INFO] [1775929267.485535732] [uart_bridge]: Distance to room1: 5.66m (threshold: 1.2m)
[INFO] [1775929267.986453707] [uart_bridge]: Distance to room1: 5.66m (threshold: 1.2m)
[INFO] [1775929268.487527368] [uart_bridge]: Distance to room1: 7.46m (threshold: 1.2m)
[INFO] [1775929268.988592825] [uart_bridge]: Distance to room1: 8.36m (threshold: 1.2m)
[INFO] [1775929269.489639597] [uart_bridge]: Distance to room1: 8.36m (threshold: 1.2m)
[INFO] [1775929269.990705351] [uart_bridge]: Distance to room1: 8.36m (threshold: 1.2m)
[INFO] [1775929270.491503973] [uart_bridge]: Distance to room1: 8.36m (threshold: 1.2m)
[INFO] [1775929270.992588468] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929271.493656370] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929271.994683308] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929272.495836840] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929272.996943038] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929273.497998236] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929273.999114027] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929274.500250781] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929275.001301775] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929275.502391603] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929276.003451116] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929276.504748333] [uart_bridge]: Distance to room1: 8.39m (threshold: 1.2m)
[INFO] [1775929277.006139274] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929277.507210398] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929278.008224855] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929278.509235090] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929279.010253880] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929279.511249133] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929280.012283424] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929280.513333307] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929281.014291523] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929281.515357795] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929282.016421845] [uart_bridge]: Distance to room1: 7.12m (threshold: 1.2m)
[INFO] [1775929282.517493839] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929283.018558130] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929283.519598346] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929284.020670711] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929284.521702575] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929285.022746088] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929285.523821045] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929286.024818317] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929286.525861645] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929287.026922472] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929287.527949948] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929288.029034516] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929288.530129492] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929289.031219653] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929289.532286907] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929290.033390420] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929290.534452803] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929291.035548835] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929291.536629199] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929292.037717361] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929292.538787707] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929293.039736849] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929293.540650472] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
[INFO] [1775929294.041717077] [uart_bridge]: Distance to room1: 2.14m (threshold: 1.2m)
