[INFO] [1775785608.305179295] [motor_controller]: Motor Controller Node started
[INFO] [1775785640.553545074] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.55, left=0.00, right=-0.21
[INFO] [1775785640.751559222] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.53, left=0.00, right=-0.21
[INFO] [1775785640.848004033] [motor_controller]: cmd_vel -> linear=-0.53, angular=-0.56, left=0.00, right=-0.22
[INFO] [1775785641.054994209] [motor_controller]: cmd_vel -> linear=-0.48, angular=-0.58, left=0.00, right=-0.21
[INFO] [1775785641.148465061] [motor_controller]: cmd_vel -> linear=-0.63, angular=-0.55, left=0.00, right=-0.24
[INFO] [1775785641.352164572] [motor_controller]: cmd_vel -> linear=-0.70, angular=-0.54, left=0.00, right=-0.25
[INFO] [1775785641.550196961] [motor_controller]: cmd_vel -> linear=-0.76, angular=-0.53, left=0.00, right=-0.26
[INFO] [1775785641.656725157] [motor_controller]: cmd_vel -> linear=-0.96, angular=-0.56, left=-0.08, right=-0.30
[INFO] [1775785641.754481771] [motor_controller]: cmd_vel -> linear=-1.07, angular=-0.53, left=-0.11, right=-0.32
[INFO] [1775785641.950400872] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.50, left=0.00, right=-0.20
[INFO] [1775785642.156221172] [motor_controller]: cmd_vel -> linear=-0.28, angular=-0.51, left=0.00, right=-0.16
[INFO] [1775785642.250214118] [motor_controller]: cmd_vel -> linear=-0.39, angular=-0.39, left=0.00, right=-0.15
[INFO] [1775785642.456290957] [motor_controller]: cmd_vel -> linear=-0.44, angular=-0.33, left=0.00, right=-0.15
[INFO] [1775785642.558443556] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.19, left=-0.07, right=-0.14
[INFO] [1775785642.755496181] [motor_controller]: cmd_vel -> linear=-0.52, angular=-0.19, left=-0.07, right=-0.14
[INFO] [1775785642.858554360] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785643.053554919] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785643.155683018] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785643.351837046] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785643.454724705] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785643.658314882] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785643.750514227] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785704.659756012] [motor_controller]: cmd_vel -> linear=-0.38, angular=0.07, left=-0.09, right=-0.06
[INFO] [1775785704.758165333] [motor_controller]: cmd_vel -> linear=-0.59, angular=0.02, left=-0.12, right=-0.11
[INFO] [1775785704.952118720] [motor_controller]: cmd_vel -> linear=-0.66, angular=-0.04, left=-0.12, right=-0.14
[INFO] [1775785705.152963235] [motor_controller]: cmd_vel -> linear=-0.72, angular=-0.10, left=-0.12, right=-0.16
[INFO] [1775785705.252970972] [motor_controller]: cmd_vel -> linear=-0.73, angular=-0.12, left=-0.12, right=-0.17
[INFO] [1775785705.357636843] [motor_controller]: cmd_vel -> linear=-0.79, angular=-0.06, left=-0.14, right=-0.17
[INFO] [1775785705.569955510] [motor_controller]: cmd_vel -> linear=-0.84, angular=-0.05, left=-0.16, right=-0.18
[INFO] [1775785705.757949033] [motor_controller]: cmd_vel -> linear=-0.71, angular=-0.08, left=-0.13, right=-0.16
[INFO] [1775785705.852886484] [motor_controller]: cmd_vel -> linear=-0.69, angular=-0.02, left=-0.13, right=-0.14
[INFO] [1775785706.055167692] [motor_controller]: cmd_vel -> linear=-0.65, angular=-0.00, left=-0.13, right=-0.13
[INFO] [1775785706.148828618] [motor_controller]: cmd_vel -> linear=-0.70, angular=0.04, left=-0.15, right=-0.13
[INFO] [1775785706.356261722] [motor_controller]: cmd_vel -> linear=-0.78, angular=0.03, left=-0.16, right=-0.15
[INFO] [1775785706.447378339] [motor_controller]: cmd_vel -> linear=-0.75, angular=0.08, left=-0.17, right=-0.14
[INFO] [1775785706.663853249] [motor_controller]: cmd_vel -> linear=-0.76, angular=0.10, left=-0.17, right=-0.13
[INFO] [1775785706.747950849] [motor_controller]: cmd_vel -> linear=-0.82, angular=0.15, left=-0.19, right=-0.13
[INFO] [1775785706.959372122] [motor_controller]: cmd_vel -> linear=-0.69, angular=0.15, left=-0.17, right=-0.11
[INFO] [1775785707.053081382] [motor_controller]: cmd_vel -> linear=-0.69, angular=0.22, left=-0.18, right=-0.09
[INFO] [1775785707.257211117] [motor_controller]: cmd_vel -> linear=-0.74, angular=0.25, left=-0.20, right=-0.10
[INFO] [1775785707.357398096] [motor_controller]: cmd_vel -> linear=-0.77, angular=0.24, left=-0.20, right=-0.11
[INFO] [1775785707.557941479] [motor_controller]: cmd_vel -> linear=-0.85, angular=0.28, left=-0.23, right=-0.11
[INFO] [1775785707.652089908] [motor_controller]: cmd_vel -> linear=-0.91, angular=0.27, left=-0.24, right=-0.13
[INFO] [1775785707.858109209] [motor_controller]: cmd_vel -> linear=-0.84, angular=0.26, left=-0.22, right=-0.12
[INFO] [1775785707.950391980] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785708.155739500] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785708.248462940] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785708.452139951] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785708.555242907] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785708.750834525] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785708.852405010] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785709.958461997] [motor_controller]: cmd_vel -> linear=0.00, angular=0.16, left=0.00, right=0.00
[INFO] [1775785710.050625675] [motor_controller]: cmd_vel -> linear=0.00, angular=0.64, left=-0.13, right=0.13
[INFO] [1775785710.255575563] [motor_controller]: cmd_vel -> linear=0.00, angular=0.96, left=-0.19, right=0.19
