[INFO] [1775785857.859818957] [motor_controller]: Motor Controller Node started
[INFO] [1775785967.552742234] [motor_controller]: cmd_vel -> linear=1.43, angular=-0.06, left=0.30, right=0.27
[INFO] [1775785967.748299971] [motor_controller]: cmd_vel -> linear=1.38, angular=0.06, left=0.26, right=0.29
[INFO] [1775785967.855016849] [motor_controller]: cmd_vel -> linear=1.52, angular=0.18, left=0.27, right=0.34
[INFO] [1775785968.050582586] [motor_controller]: cmd_vel -> linear=1.37, angular=0.30, left=0.21, right=0.33
[INFO] [1775785968.156037624] [motor_controller]: cmd_vel -> linear=1.09, angular=0.42, left=0.13, right=0.30
[INFO] [1775785968.350322428] [motor_controller]: cmd_vel -> linear=0.70, angular=0.52, left=0.00, right=0.24
[INFO] [1775785968.454872629] [motor_controller]: cmd_vel -> linear=0.38, angular=0.60, left=0.00, right=0.20
[INFO] [1775785968.649947900] [motor_controller]: cmd_vel -> linear=0.46, angular=0.62, left=0.00, right=0.22
[INFO] [1775785968.857644367] [motor_controller]: cmd_vel -> linear=0.60, angular=0.59, left=0.00, right=0.24
[INFO] [1775785968.950064430] [motor_controller]: cmd_vel -> linear=0.58, angular=0.62, left=0.00, right=0.24
[INFO] [1775785969.054802409] [motor_controller]: cmd_vel -> linear=0.73, angular=0.60, left=0.00, right=0.26
[INFO] [1775785969.253089512] [motor_controller]: cmd_vel -> linear=1.00, angular=0.58, left=0.08, right=0.32
[INFO] [1775785969.452250305] [motor_controller]: cmd_vel -> linear=1.17, angular=0.53, left=0.13, right=0.34
[INFO] [1775785969.558045234] [motor_controller]: cmd_vel -> linear=1.96, angular=0.28, left=0.34, right=0.45
[INFO] [1775785969.751579182] [motor_controller]: cmd_vel -> linear=2.39, angular=0.28, left=0.42, right=0.53
[INFO] [1775785969.847720801] [motor_controller]: cmd_vel -> linear=2.34, angular=0.30, left=0.41, right=0.53
[INFO] [1775785970.052433216] [motor_controller]: cmd_vel -> linear=2.32, angular=0.27, left=0.41, right=0.52
[INFO] [1775785970.156753378] [motor_controller]: cmd_vel -> linear=2.53, angular=0.20, left=0.47, right=0.55
[INFO] [1775785970.351441443] [motor_controller]: cmd_vel -> linear=2.79, angular=0.15, left=0.53, right=0.59
[INFO] [1775785970.448321696] [motor_controller]: cmd_vel -> linear=1.87, angular=0.21, left=0.33, right=0.42
[INFO] [1775785970.657728450] [motor_controller]: cmd_vel -> linear=2.03, angular=0.22, left=0.36, right=0.45
[INFO] [1775785970.752174430] [motor_controller]: cmd_vel -> linear=2.54, angular=0.23, left=0.46, right=0.55
[INFO] [1775785970.958789374] [motor_controller]: cmd_vel -> linear=2.56, angular=0.26, left=0.46, right=0.56
[INFO] [1775785971.052232960] [motor_controller]: cmd_vel -> linear=2.62, angular=0.29, left=0.47, right=0.58
[INFO] [1775785971.260945803] [motor_controller]: cmd_vel -> linear=2.62, angular=0.29, left=0.47, right=0.58
[INFO] [1775785971.352568250] [motor_controller]: cmd_vel -> linear=2.53, angular=0.25, left=0.46, right=0.56
[INFO] [1775785971.548371840] [motor_controller]: cmd_vel -> linear=1.59, angular=0.41, left=0.24, right=0.40
[INFO] [1775785971.653240746] [motor_controller]: cmd_vel -> linear=0.10, angular=0.60, left=-0.10, right=0.14
[INFO] [1775785971.850685511] [motor_controller]: cmd_vel -> linear=0.57, angular=0.51, left=0.00, right=0.22
